what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305095947204
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305095947204
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1305095947214
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1305095947214
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305095947214
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305095947214
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305095947214
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305095947214
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305095947214
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305095947214
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305095947224
os,sysinfo,,,"win32",1305095947224
arch,sysinfo,,,"x86_64",1305095947224
ws,sysinfo,,,"win32",1305095947224
locale,sysinfo,,,"en_IN",1305095947224
processors,sysinfo,,,"8",1305095947224
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305095947224
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1305095947224
java.specification.name,sysinfo,,,"Java Platform API Specification",1305095947224
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305095947224
java.specification.version,sysinfo,,,"1.6",1305095947224
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305095947224
java.version,sysinfo,,,"1.6.0_24",1305095947224
java.vm.info,sysinfo,,,"mixed mode",1305095947224
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1305095947224
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305095947224
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305095947224
java.vm.specification.version,sysinfo,,,"1.0",1305095947224
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305095947224
java.vm.version,sysinfo,,,"19.1-b02",1305095947224
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305095974404
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305095975714
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1305095975855
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305095975865
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305095977615
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1305095980365
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096029045
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305096029085
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305096033205
opened,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305096033535
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096033585
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305096034975
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305096036385
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305096038735
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305096038965
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305096057485
